root - WARNING - 'dynamic_reconfigure/DoubleParameter.h' file not found
root - WARNING - NODE_NAME: declaration_file_name not present
root - WARNING - AGENTS_SUB_TOPIC: declaration_file_name not present
root - WARNING - EXTERNAL_PATHS_SUB_TOPIC: declaration_file_name not present
root - WARNING - RESET_EXT_PATHS_SERVICE_NAME: declaration_file_name not present
root - WARNING - PREDICT_SERVICE_NAME: declaration_file_name not present
root - WARNING - PUBLISH_MARKERS_SRV_NAME: declaration_file_name not present
root - WARNING - PREDICTED_AGENTS_MARKERS_PUB_TOPIC: declaration_file_name not present
root - WARNING - GET_PLAN_SRV_NAME: declaration_file_name not present
root - WARNING - DEFAULT_AGENT_PART: declaration_file_name not present
root - WARNING - MAX_AGENT_MARKERS: declaration_file_name not present
root - WARNING - MIN_MARKER_LIFETIME: declaration_file_name not present
root - WARNING - MINIMUM_COVARIANCE_MARKERS: declaration_file_name not present
root - WARNING - ROBOT_FRAME_ID: declaration_file_name not present
root - WARNING - MAP_FRAME_ID: declaration_file_name not present
root - WARNING - AGENT_DIST_BEHIND_ROBOT: declaration_file_name not present
root - WARNING - AGENT_ANGLE_BEHIND_ROBOT: declaration_file_name not present
root - WARNING - ANG_VEL_EPS: declaration_file_name not present
root - WARNING - dynamic_reconfigure/DoubleParameter.h: declaration_file_name not present
root - WARNING - dynamic_reconfigure/IntParameter.h: declaration_file_name not present
root - WARNING - dynamic_reconfigure/Reconfigure.h: declaration_file_name not present
root - WARNING - dynamic_reconfigure/Config.h: declaration_file_name not present
root - WARNING - signal.h: declaration_file_name not present
root - WARNING - agent_path_prediction/agent_path_prediction.h: declaration_file_name not present
root - WARNING - AGENT_PATH_PREDICTION_H_: declaration_file_name not present
root - WARNING - ros/ros.h: declaration_file_name not present
root - WARNING - dynamic_reconfigure/server.h: declaration_file_name not present
root - WARNING - agent_path_prediction/AgentPathPredictionConfig.h: declaration_file_name not present
root - WARNING - cohan_msgs/TrackedAgents.h: declaration_file_name not present
root - WARNING - cohan_msgs/TrackedSegmentType.h: declaration_file_name not present
root - WARNING - cohan_msgs/AgentPathArray.h: declaration_file_name not present
root - WARNING - cohan_msgs/AgentTrajectory.h: declaration_file_name not present
root - WARNING - cohan_msgs/AgentTrajectoryArray.h: declaration_file_name not present
root - WARNING - agent_path_prediction/AgentPosePredict.h: declaration_file_name not present
root - WARNING - agent_path_prediction/PredictedGoal.h: declaration_file_name not present
root - WARNING - agent_path_prediction/AgentGoal.h: declaration_file_name not present
root - WARNING - agent_path_prediction/AgentPose.h: declaration_file_name not present
root - WARNING - tf/transform_listener.h: declaration_file_name not present
root - WARNING - std_srvs/SetBool.h: declaration_file_name not present
root - WARNING - std_srvs/Trigger.h: declaration_file_name not present
root - WARNING - std_srvs/Empty.h: declaration_file_name not present
root - WARNING - nav_msgs/GetPlan.h: declaration_file_name not present
root - WARNING - visualization_msgs/MarkerArray.h: declaration_file_name not present
root - WARNING - std_srvs/Empty.h: declaration_file_name not present
root - WARNING - std_srvs/TriggerRequest.h: declaration_file_name not present
root - WARNING - std_srvs/TriggerResponse.h: declaration_file_name not present
root - WARNING - std_srvs/Trigger.h: declaration_file_name not present
