root - WARNING - 'stddef.h' file not found
root - WARNING - algorithm: declaration_file_name not present
root - WARNING - exception: declaration_file_name not present
root - WARNING - set: declaration_file_name not present
root - WARNING - stdexcept: declaration_file_name not present
root - WARNING - string: declaration_file_name not present
root - WARNING - vector: declaration_file_name not present
root - WARNING - angles/angles.h: declaration_file_name not present
root - WARNING - boost/foreach.hpp: declaration_file_name not present
root - WARNING - boost/math/special_functions/sign.hpp: declaration_file_name not present
root - WARNING - boost/shared_ptr.hpp: declaration_file_name not present
root - WARNING - control_toolbox/pid.h: declaration_file_name not present
root - WARNING - controller_interface/controller_base.h: declaration_file_name not present
root - WARNING - Eigen/Core: declaration_file_name not present
root - WARNING - Eigen/Geometry: declaration_file_name not present
root - WARNING - Eigen/SVD: declaration_file_name not present
root - WARNING - controller_interface/multi_interface_controller.h: declaration_file_name not present
root - WARNING - controller_interface/controller.h: declaration_file_name not present
root - WARNING - geometry_msgs/Twist.h: declaration_file_name not present
root - WARNING - hardware_interface/joint_command_interface.h: declaration_file_name not present
root - WARNING - kdl/chainfksolverpos_recursive.hpp: declaration_file_name not present
root - WARNING - kdl_parser/kdl_parser.hpp: declaration_file_name not present
root - WARNING - nav_msgs/Odometry.h: declaration_file_name not present
root - WARNING - pluginlib/class_list_macros.hpp: declaration_file_name not present
root - WARNING - realtime_tools/realtime_publisher.h: declaration_file_name not present
root - WARNING - tf/tfMessage.h: declaration_file_name not present
root - WARNING - tf/transform_datatypes.h: declaration_file_name not present
root - WARNING - urdf/model.h: declaration_file_name not present
root - WARNING - "The specified wheel diameter scale is less than or equal to zero.": declaration_file_name not present
root - WARNING - "At least two wheels must be specified.": declaration_file_name not present
root - WARNING - "The specified list of wheels is invalid.": declaration_file_name not present
root - WARNING - "No wheels were specified.": declaration_file_name not present
root - WARNING - "full_axle_speed_angle must be less than zero_axle_speed_angle.": declaration_file_name not present
root - WARNING - "zero_axle_speed_angle must be in the range [0, pi].": declaration_file_name not present
root - WARNING - "full_axle_speed_angle must be in the range [0, pi].": declaration_file_name not present
root - WARNING - "The kinematic tree could not be created.": declaration_file_name not present
root - WARNING - "The URDF data was not found.": declaration_file_name not present
