root - WARNING - 'geometry_msgs/Point.h' file not found
root - WARNING - rotate_recovery/rotate_recovery.h: declaration_file_name not present
root - WARNING - ROTATE_RECOVERY_ROTATE_RECOVERY_H: declaration_file_name not present
root - WARNING - nav_core/recovery_behavior.h: declaration_file_name not present
root - WARNING - costmap_2d/costmap_2d_ros.h: declaration_file_name not present
root - WARNING - tf2_ros/buffer.h: declaration_file_name not present
root - WARNING - base_local_planner/costmap_model.h: declaration_file_name not present
root - WARNING - string: declaration_file_name not present
root - WARNING - pluginlib/class_list_macros.hpp: declaration_file_name not present
root - WARNING - nav_core/parameter_magic.h: declaration_file_name not present
root - WARNING - tf2/utils.h: declaration_file_name not present
root - WARNING - ros/ros.h: declaration_file_name not present
root - WARNING - geometry_msgs/Twist.h: declaration_file_name not present
root - WARNING - geometry_msgs/Point.h: declaration_file_name not present
root - WARNING - angles/angles.h: declaration_file_name not present
root - WARNING - algorithm: declaration_file_name not present
root - WARNING - string: declaration_file_name not present
