root - WARNING - 'Eigen/Eigen' file not found
root - WARNING - spacial_horizon/spacial_horizon_node.h: declaration_file_name not present
root - WARNING - _SPACIAL_HORIZON_NODE_H_: declaration_file_name not present
root - WARNING - Eigen/Eigen: declaration_file_name not present
root - WARNING - iostream: declaration_file_name not present
root - WARNING - ros/ros.h: declaration_file_name not present
root - WARNING - algorithm: declaration_file_name not present
root - WARNING - vector: declaration_file_name not present
root - WARNING - nav_msgs/Odometry.h: declaration_file_name not present
root - WARNING - geometry_msgs/PoseStamped.h: declaration_file_name not present
root - WARNING - geometry_msgs/PoseWithCovarianceStamped.h: declaration_file_name not present
root - WARNING - nav_msgs/Path.h: declaration_file_name not present
root - WARNING - nav_msgs/GetPlan.h: declaration_file_name not present
root - WARNING - visualization_msgs/MarkerArray.h: declaration_file_name not present
root - WARNING - boost/foreach.hpp: declaration_file_name not present
root - WARNING - forEach: declaration_file_name not present
root - WARNING - geometry_msgs/Twist.h: declaration_file_name not present
root - WARNING - SUB_TOPIC_GOAL: declaration_file_name not present
root - WARNING - SUB_TOPIC_ODOM: declaration_file_name not present
root - WARNING - PUB_TOPIC_SUBGOAL: declaration_file_name not present
root - WARNING - PUB_TOPIC_GLOBAL_PLAN: declaration_file_name not present
root - WARNING - SERVICE_GLOBAL_PLANNER: declaration_file_name not present
