root - WARNING - 'ros/ros.h' file not found
root - WARNING - ros/ros.h: declaration_file_name not present
root - WARNING - ros/time.h: declaration_file_name not present
root - WARNING - nav_msgs/Odometry.h: declaration_file_name not present
root - WARNING - geometry_msgs/PoseArray.h: declaration_file_name not present
root - WARNING - geometry_msgs/PoseWithCovarianceStamped.h: declaration_file_name not present
root - WARNING - angles/angles.h: declaration_file_name not present
root - WARNING - ros/console.h: declaration_file_name not present
root - WARNING - tf2/LinearMath/Transform.h: declaration_file_name not present
root - WARNING - tf2/convert.h: declaration_file_name not present
root - WARNING - tf2_geometry_msgs/tf2_geometry_msgs.h: declaration_file_name not present
root - WARNING - tf2_ros/buffer.h: declaration_file_name not present
root - WARNING - tf2_ros/transform_broadcaster.h: declaration_file_name not present
root - WARNING - tf2_ros/transform_listener.h: declaration_file_name not present
root - WARNING - tf2_ros/message_filter.h: declaration_file_name not present
root - WARNING - message_filters/subscriber.h: declaration_file_name not present
